"","name","mean1","mean2","sd1","sd2"
"1","GAM",0.50925,0.14775,0.00861684396980705,0.0115
"2","GLM",0.54825,0.197,0.0125,0.032
"3","MAXENT",0.56775,0.19325,0.0175380538639078,0.0191202336108462
"4","RF",0.73225,0.41675,0.0228089894559141,0.0380558799661761
