"","name","mean1","mean2","sd1","sd2"
"1","GAM",0.68475,0.31825,0.00221735578260829,0.0108435848930754
"2","GLM",0.68925,0.309,0.00287228132326897,0.00898146239020499
"3","MAXENT",0.80525,0.439,0.0206942020865748,0.0439848458752178
"4","RF",1,1,0,0
